Report_No,Involvement,Race,Sex,Age,Firearm Used Flag  
110000326,VIC,W,F,28,N
110000327,SUS,U,U,,N
110000327,VIC,W,M,50,N
110000328,SUS,U,U,,N
110000328,VIC,B,F,39,N
110000329,SUS,W,M,,N
110000329,VIC,W,M,28,N
110000332,ARR,W,M,22,N
110000332,SUS,W,M,,N
110000332,VIC,W,M,31,N
110000332,VIC,W,M,25,N
110000332,ARR,W,M,22,N
110000332,SUS,W,M,,N
110000332,VIC,W,M,31,N
110000332,VIC,W,M,25,N
110000334,SUS,U,U,,N
110000334,VIC,W,F,21,N
110000335,SUS,U,U,,N
110000335,VIC,W,F,51,N
110000335,VIC,W,F,25,N
110000336,SUS,B,F,43,N
110000336,VIC,B,M,71,N
110000336,SUS,B,F,43,N
110000336,VIC,B,M,71,N
110000339,SUS,U,U,,N
110000339,VIC,W,F,71,N
110000340,VIC,W,M,58,N
110000340,VIC,W,F,52,N
110000341,ARR,W,M,28,N
110000341,VIC,,,,N
110000343,SUS,U,U,,N
110000343,VIC,B,F,21,N
110000344,SUS,B,M,,N
110000344,VIC,B,M,18,N
110000346,SUS,U,U,,N
110000346,VIC,W,M,23,N
110000347,VIC,W,F,26,N
110000348,SUS,U,U,,N
110000348,VIC,W,F,35,N
110000351,SUS,B,M,,Y
110000351,SUS,B,M,,Y
110000351,VIC,W,M,16,Y
110000352,SUS,U,U,,N
110000352,VIC,B,F,49,N
110000353,SUS,B,M,,N
110000353,SUS,U,U,,N
110000353,VIC,W,F,47,N
110000354,SUS,W,M,24,N
110000354,VIC,B,F,21,N
110000355,ARR,B,M,24,N
110000356,SUS,U,U,,N
110000356,VIC,W,M,53,N
110000357,SUS,W,M,40,N
110000357,VIC,,,,N
110000357,VIC,W,M,,N
110000358,SUS,B,M,,N
110000358,SUS,B,M,,N
110000358,VIC,W,M,53,N
110000360,SUS,U,U,,N
110000360,VIC,,,,N
110000361,SUS,U,U,,N
110000361,VIC,W,M,39,N
110000362,SUS,B,M,40,N
110000362,VIC,B,F,27,N
110000363,SUS,U,U,,N
110000363,VIC,W,M,33,N
110000364,SUS,U,U,,N
110000364,VIC,W,M,33,N
110000365,SUS,U,U,,N
110000365,VIC,A,F,37,N
110000366,SUS,U,U,,N
110000366,VIC,W,F,24,N
110000367,VIC,W,F,46,N
110000370,SUS,U,U,,N
110000370,VIC,B,M,37,N
110000371,ARR,B,F,15,N
110000371,VIC,,,,N
110000372,SUS,U,U,,N
110000372,VIC,W,M,71,N
110000373,SUS,U,U,,N
110000373,VIC,W,M,25,N
110000376,SUS,B,M,,Y
110000376,VIC,B,M,23,Y
110000376,VIC,B,F,20,Y
110000376,VIC,B,F,3,Y
110000376,VIC,B,M,4,Y
110000377,SUS,U,U,,N
110000377,VIC,W,M,26,N
110000379,SUS,W,M,33,N
110000379,SUS,W,M,18,N
110000379,VIC,W,F,36,N
110000379,SUS,W,M,33,N
110000379,SUS,W,M,18,N
110000379,VIC,W,F,36,N
110000380,SUS,W,F,42,N
110000380,VIC,W,M,52,N
110000381,ARR,W,F,28,N
110000381,VIC,,,,N
110000382,SUS,B,M,20,N
110000382,SUS,B,M,,N
110000382,VIC,W,F,38,N
110000384,SUS,U,U,,N
110000384,VIC,W,M,57,N
110000386,ARR,W,M,28,N
110000386,ARR,W,F,29,N
110000386,VIC,W,M,28,N
110000386,VIC,W,F,29,N
110000386,ARR,W,M,28,N
110000386,ARR,W,F,29,N
110000386,VIC,W,M,28,N
110000386,VIC,W,F,29,N
110000388,SUS,B,M,45,Y
110000388,VIC,,,,Y
110000388,VIC,B,M,35,Y
110000388,VIC,B,M,54,Y
110000388,VIC,B,F,25,Y
110000389,SUS,W,M,38,N
110000389,VIC,W,F,32,N
110000390,SUS,W,M,,N
110000390,VIC,W,M,28,N
110000391,ARR,B,M,32,N
110000391,VIC,B,F,48,N
110000392,ARR,B,M,56,N
110000393,ARR,B,M,50,N
110000393,VIC,B,M,54,N
110000394,ARR,B,F,23,N
110000394,VIC,B,F,0,N
110000396,SUS,U,U,,N
110000396,VIC,W,F,36,N
110000398,SUS,B,M,33,Y
110000398,VIC,W,M,22,Y
110000398,VIC,W,F,23,Y
110000399,SUS,B,M,,Y
110000399,VIC,W,M,29,Y
110000399,VIC,W,M,28,Y
110000401,SUS,B,M,21,Y
110000401,SUS,B,M,,Y
110000401,VIC,,,,Y
110000401,VIC,W,M,62,Y
110000401,VIC,W,M,24,Y
110000405,SUS,U,U,,N
110000405,VIC,W,M,38,N
110000407,SUS,B,M,26,N
110000407,VIC,W,M,39,N
110000408,SUS,U,U,,N
110000408,VIC,W,F,40,N
110000409,SUS,U,U,,N
110000409,VIC,B,F,37,N
110000410,ARR,B,M,28,N
110000410,VIC,B,F,56,N
110000411,SUS,B,M,20,N
110000411,VIC,W,M,56,N
110000412,ARR,B,M,33,N
110000412,VIC,,,,N
110000413,VIC,,,,N
110000414,ARR,B,M,20,N
110000414,VIC,,,,N
110000417,SUS,U,U,,N
110000417,VIC,W,M,20,N
110000418,ARR,W,M,29,N
110000418,VIC,,,,N
110000419,SUS,U,U,,N
110000419,VIC,B,M,44,N
110000421,SUS,U,U,,N
110000421,VIC,W,F,23,N
110000422,SUS,U,U,,N
110000422,VIC,W,M,48,N
110000423,ARR,W,M,26,N
110000426,SUS,U,U,,N
110000426,VIC,W,F,20,N
110000426,VIC,W,M,48,N
110000426,SUS,U,U,,N
110000426,VIC,W,F,20,N
110000426,VIC,W,M,48,N
110000429,SUS,B,M,30,Y
110000429,VIC,B,M,29,Y
110000430,SUS,U,U,,N
110000430,VIC,U,U,,N
110000431,ARR,B,F,41,N
110000431,VIC,,,,N
110000432,SUS,U,U,,N
110000432,VIC,B,F,55,N
110000433,SUS,W,M,,N
110000433,VIC,W,F,28,N
110000434,ARR,W,M,48,N
110000434,VIC,,,,N
110000435,SUS,W,M,20,N
110000435,VIC,W,F,32,N
110000435,VIC,W,F,10,N
110000435,VIC,W,M,8,N
110000435,SUS,W,M,20,N
110000435,VIC,W,F,32,N
110000435,VIC,W,F,10,N
110000435,VIC,W,M,8,N
110000436,SUS,U,U,,N
110000436,VIC,B,M,42,N
110000438,SUS,U,U,,N
110000438,VIC,,,,N
110000438,VIC,U,U,,N
110000438,VIC,U,F,,N
110000438,VIC,U,M,,N
110000438,VIC,,,,N
110000438,VIC,U,M,,N
110000438,SUS,U,U,,N
110000438,VIC,,,,N
110000438,VIC,U,U,,N
110000438,VIC,U,F,,N
110000438,VIC,U,M,,N
110000438,VIC,,,,N
110000438,VIC,U,M,,N
110000439,SUS,U,U,,N
110000439,VIC,W,M,24,N
110000440,SUS,U,U,,N
110000440,VIC,,,,N
110000442,SUS,U,U,,N
110000442,VIC,,,,N
110000443,SUS,U,U,,N
110000443,VIC,W,F,55,N
110000444,SUS,U,U,,N
110000444,VIC,,,,N
110000449,SUS,U,U,,N
110000449,VIC,W,M,23,N
110000453,SUS,U,U,,N
110000453,VIC,B,M,35,N
110000454,SUS,U,U,,N
110000454,VIC,W,F,42,N
110000455,SUS,U,U,,N
110000455,VIC,,,,N
110000455,SUS,U,U,,N
110000455,VIC,,,,N
110000456,SUS,U,U,,N
110000456,VIC,W,F,21,N
110000457,ARR,B,M,29,N
110000457,VIC,W,M,27,N
110000457,ARR,B,M,29,N
110000457,VIC,W,M,27,N
110000458,SUS,U,U,,N
110000458,VIC,W,M,26,N
110000460,SUS,U,U,,N
110000460,VIC,B,F,76,N
110000461,SUS,B,M,,Y
110000461,SUS,B,M,,Y
110000461,VIC,W,F,67,Y
110000463,SUS,U,U,,N
110000463,VIC,B,M,39,N
110000466,VIC,B,F,44,N
110000469,SUS,U,U,,N
110000469,VIC,W,M,64,N
110000470,SUS,W,M,,N
110000470,VIC,B,M,,N
110000472,SUS,U,U,,N
110000472,VIC,W,M,56,N
110000472,VIC,,,,N
110000474,SUS,B,M,37,N
110000474,VIC,B,F,27,N
110000476,SUS,U,U,,N
110000476,VIC,W,F,34,N
110000479,SUS,U,U,,N
110000479,VIC,W,M,23,N
110000479,SUS,U,U,,N
110000479,VIC,W,M,23,N
110000480,SUS,U,U,,N
