Report_No,Involvement,Race,Sex,Age,Firearm Used Flag  
110057864,SUS,B,M,17,Y
110057864,VIC,B,M,55,Y
110057866,SUS,B,F,33,N
110057866,VIC,B,F,33,N
110057867,SUS,B,F,44,N
110057867,VIC,B,F,59,N
110057867,VIC,B,M,23,N
110057868,SUS,B,M,,N
110057868,VIC,,,,N
110057869,SUS,W,M,,Y
110057869,VIC,B,M,45,Y
110057872,SUS,B,M,33,N
110057872,VIC,B,F,39,N
110057873,VIC,W,F,60,N
110057875,SUS,B,M,,N
110057875,SUS,B,M,,N
110057875,SUS,B,M,,N
110057875,VIC,W,M,37,N
110057876,VIC,B,M,66,N
110057878,ARR,B,M,35,N
110057878,VIC,,,,N
110057880,SUS,U,U,,N
110057880,VIC,W,F,95,N
110057882,VIC,,,,N
110057883,SUS,B,M,,N
110057883,SUS,B,M,,N
110057883,VIC,U,U,,N
110057884,SUS,B,M,,N
110057884,VIC,B,M,52,N
110057885,SUS,W,F,,N
110057885,VIC,W,F,63,N
110057886,ARR,W,M,30,N
110057889,ARR,W,M,37,N
110057891,SUS,B,F,49,N
110057891,VIC,B,M,47,N
110057893,SUS,U,U,,N
110057893,VIC,W,M,55,N
110057895,SUS,U,U,,N
110057895,VIC,W,M,28,N
110057896,SUS,B,M,,Y
110057896,SUS,B,M,,Y
110057896,SUS,B,M,,Y
110057896,VIC,B,M,47,Y
110057899,SUS,U,U,,N
110057899,VIC,W,M,35,N
110057904,SUS,U,U,,N
110057904,VIC,B,M,38,N
110057905,SUS,U,U,,N
110057905,VIC,W,M,50,N
110057906,SUS,U,U,,N
110057906,VIC,W,M,51,N
110057908,ARR,B,F,44,N
110057908,VIC,,,,N
110057909,ARR,W,M,18,N
110057909,VIC,W,M,18,N
110057911,SUS,U,U,,N
110057911,VIC,,,,N
110057913,SUS,U,U,,N
110057913,VIC,W,M,59,N
110057914,SUS,U,U,,N
110057914,VIC,U,M,36,N
110057915,SUS,U,U,,N
110057915,VIC,W,M,65,N
110057916,SUS,U,U,,N
110057916,VIC,W,M,57,N
110057918,SUS,U,U,,N
110057918,VIC,W,M,54,N
110057918,VIC,W,F,75,N
110057919,SUS,U,U,,N
110057919,VIC,B,M,62,N
110057924,SUS,U,U,,N
110057924,VIC,,,,N
110057925,SUS,U,U,,N
110057925,VIC,,,,N
110057926,SUS,U,U,,N
110057926,VIC,,,,N
110057927,SUS,U,U,,N
110057927,VIC,W,M,54,N
110057930,SUS,U,U,,N
110057930,VIC,W,M,87,N
110057931,ARR,W,M,35,N
110057931,VIC,,,,N
110057932,SUS,W,M,38,N
110057932,VIC,W,M,50,N
110057934,SUS,U,U,,N
110057934,VIC,W,M,21,N
110057935,SUS,B,M,22,N
110057935,VIC,B,F,21,N
110057935,SUS,B,M,22,N
110057935,VIC,B,F,21,N
110057937,SUS,B,M,53,N
110057937,VIC,B,F,38,N
110057939,SUS,U,U,,N
110057939,VIC,,,,N
110057940,SUS,U,U,,N
110057941,ARR,B,M,27,N
110057941,VIC,W,F,26,N
110057942,SUS,W,M,,N
110057942,SUS,W,F,,N
110057942,VIC,B,M,40,N
110057942,SUS,W,M,,N
110057942,SUS,W,F,,N
110057942,VIC,B,M,40,N
110057945,ARR,B,M,20,N
110057945,VIC,,,,N
110057946,SUS,B,M,11,N
110057946,SUS,B,M,11,N
110057946,VIC,W,M,46,N
110057946,SUS,B,M,11,N
110057946,SUS,B,M,11,N
110057946,VIC,W,M,46,N
110057948,SUS,U,U,,N
110057948,VIC,W,M,51,N
110057949,SUS,U,U,,Y
110057949,VIC,W,F,28,Y
110057949,VIC,U,F,22,Y
110057949,VIC,B,F,7,Y
110057949,VIC,U,F,2,Y
110057949,VIC,U,F,0,Y
110057949,VIC,W,F,24,Y
110057949,VIC,W,F,31,Y
110057949,VIC,W,F,7,Y
110057949,SUS,U,U,,N
110057949,VIC,W,F,28,N
110057949,VIC,U,F,22,N
110057949,VIC,B,F,7,N
110057949,VIC,U,F,2,N
110057949,VIC,U,F,0,N
110057949,VIC,W,F,24,N
110057949,VIC,W,F,31,N
110057949,VIC,W,F,7,N
110057950,SUS,U,U,,N
110057950,VIC,B,F,48,N
110057950,SUS,U,U,,N
110057950,VIC,B,F,48,N
110057951,SUS,U,U,,N
110057951,VIC,B,F,56,N
110057952,SUS,U,U,,N
110057952,VIC,,,,N
110057953,SUS,U,U,,N
110057953,VIC,W,M,21,N
110057954,SUS,W,M,34,N
110057954,VIC,W,F,3,N
110057954,VIC,W,M,5,N
110057955,SUS,U,U,,N
110057955,VIC,B,M,19,N
110057956,SUS,U,U,,N
110057956,VIC,,,,N
110057957,SUS,U,U,,N
110057957,VIC,,,,N
110057958,SUS,U,U,,N
110057958,VIC,W,M,33,N
110057960,SUS,U,U,,N
110057960,VIC,W,M,33,N
110057960,VIC,W,M,34,N
110057961,SUS,U,U,,N
110057961,VIC,W,F,51,N
110057962,ARR,B,M,25,N
110057962,VIC,W,F,28,N
110057963,SUS,B,M,29,N
110057963,VIC,,,,N
110057964,VIC,,,,N
110057964,VIC,,,,N
110057964,VIC,,,,N
110057964,VIC,,,,N
110057966,SUS,W,M,24,N
110057966,VIC,W,F,22,N
110057968,SUS,U,U,,N
110057968,VIC,,,,N
110057969,SUS,U,U,,N
110057969,VIC,,,,N
110057971,SUS,U,U,,N
110057971,VIC,W,F,57,N
110057972,SUS,U,U,,N
110057972,VIC,W,F,25,N
110057972,SUS,U,U,,N
110057972,VIC,W,F,25,N
110057973,ARR,B,M,30,N
110057973,VIC,,,,N
110057975,SUS,U,U,,N
110057975,VIC,,,,N
110057977,SUS,U,U,,N
110057977,VIC,B,M,38,N
110057980,SUS,U,U,,N
110057980,VIC,W,M,36,N
110057981,SUS,B,M,53,N
110057981,VIC,B,F,3,N
110057982,SUS,U,U,,N
110057982,VIC,B,F,29,N
110057985,SUS,U,U,,N
110057985,VIC,W,F,56,N
110057987,SUS,U,U,,N
110057987,VIC,B,F,41,N
110057988,SUS,W,M,,N
110057988,VIC,W,F,50,N
110057989,SUS,U,U,,N
110057989,VIC,W,F,58,N
110057990,SUS,U,U,,N
110057990,VIC,U,U,,N
110057994,SUS,U,U,,N
110057994,VIC,B,M,23,N
110057996,SUS,B,M,55,N
110057996,VIC,B,F,21,N
110057997,SUS,U,U,,N
110057997,VIC,W,M,41,N
110057998,SUS,U,U,,N
110057998,VIC,W,F,62,N
110057999,SUS,U,U,,N
110057999,VIC,W,M,15,N
110058000,SUS,U,U,,N
110058000,VIC,B,F,61,N
110058001,ARR,B,M,19,N
110058001,ARR,B,M,18,N
110058001,VIC,,,,N
110058001,ARR,B,M,19,N
110058001,ARR,B,M,18,N
110058001,VIC,,,,N
110058009,SUS,B,M,,N
110058009,SUS,B,M,,N
110058009,VIC,W,M,61,N
110058010,SUS,U,U,,N
110058010,VIC,W,F,48,N
110058013,ARR,B,M,32,N
110058013,VIC,B,F,38,N
110058014,ARR,W,F,23,N
110058014,VIC,,,,N
110058016,ARR,B,M,34,N
110058016,VIC,W,M,24,N
110058018,ARR,W,M,33,N
110058018,VIC,B,M,48,N
110058019,SUS,U,U,,N
110058019,VIC,W,M,53,N
110058021,SUS,W,M,42,N
110058021,VIC,W,M,44,N
110058025,SUS,U,U,,N
110058025,VIC,B,F,29,N
110058027,SUS,U,U,,N
110058027,VIC,B,F,49,N
110058028,SUS,U,U,,N
110058028,VIC,W,F,47,N
110058029,SUS,B,F,48,N
110058029,VIC,,,,N
110058035,ARR,B,M,32,N
110058035,VIC,,,,N
110058037,SUS,B,M,21,N
110058037,VIC,B,F,20,N
110058038,SUS,U,U,,N
110058038,VIC,U,U,,N
110058041,SUS,U,U,,N
110058041,VIC,B,F,25,N
110058044,SUS,U,U,,N
110058044,VIC,B,F,47,N
110058045,SUS,U,U,,N
110058045,VIC,B,F,32,N
110058046,SUS,B,F,28,N
110058046,VIC,B,F,29,N
110058051,SUS,B,M,40,N
110058051,VIC,W,F,34,N
110058052,SUS,U,U,,N
110058052,VIC,W,F,49,N
110058053,SUS,B,M,39,N
110058053,VIC,B,F,,N
110058054,ARR,W,M,36,N
110058054,VIC,W,F,25,N
110058055,SUS,U,U,,N
110058055,VIC,W,M,69,N
110058056,SUS,U,U,,N
110058056,VIC,B,F,53,N
110058057,ARR,B,F,38,N
110058057,VIC,,,,N
110058058,SUS,U,U,,N
110058058,VIC,W,F,52,N
110058059,SUS,U,F,,N
110058059,VIC,W,F,41,N
110058061,SUS,U,U,,N
110058061,VIC,W,F,27,N
110058062,SUS,B,F,31,N
110058062,VIC,B,M,33,N
110058066,SUS,U,U,,N
110058066,VIC,W,M,32,N
110058068,VIC,W,M,31,N
110058068,VIC,W,M,31,N
110058070,SUS,U,U,,N
110058070,VIC,W,M,23,N
110058070,SUS,U,U,,N
110058070,VIC,W,M,23,N
110058073,ARR,B,M,45,N
110058073,VIC,,,,N
110058073,ARR,B,M,45,N
110058073,VIC,,,,N
110058074,SUS,U,U,,N
110058074,VIC,W,M,30,N
110058076,SUS,U,U,,N
110058076,VIC,W,F,27,N
110058077,SUS,U,U,,N
110058077,VIC,B,F,33,N
110058078,SUS,U,U,,N
110058078,VIC,B,M,27,N
110058080,SUS,U,U,,N
110058080,VIC,W,M,57,N
110058082,SUS,U,U,,N
110058082,VIC,W,M,26,N
110058082,SUS,U,U,,N
110058082,VIC,W,M,26,N
110058084,SUS,U,U,,N
110058084,VIC,W,M,24,N
110058085,ARR,B,F,21,N
110058085,ARR,B,F,20,N
110058085,ARR,W,F,25,N
110058085,VIC,,,,N
110058086,SUS,B,F,,N
110058086,VIC,W,F,50,N
110058087,ARR,W,M,48,N
110058087,VIC,W,F,38,N
110058091,ARR,W,M,33,N
110058091,VIC,W,M,57,N
110058091,VIC,W,F,,N
110058094,ARR,B,M,21,N
110058094,VIC,B,F,15,N
110058097,SUS,U,U,,N
110058097,VIC,,,,N
110058098,SUS,B,M,37,N
110058098,VIC,B,M,40,N
110058100,SUS,U,U,,N
110058100,VIC,B,F,35,N
110058101,VIC,U,U,,N
110058101,VIC,U,U,,N
110058102,SUS,U,U,,N
110058102,VIC,W,M,35,N
110058104,ARR,B,F,33,N
110058104,SUS,B,F,29,N
110058104,VIC,B,F,17,N
110058105,SUS,B,M,49,N
110058105,VIC,B,M,30,N
110058106,SUS,B,M,28,N
110058106,SUS,B,M,,N
110058106,VIC,B,F,30,N
110058106,SUS,B,M,28,N
110058106,SUS,B,M,,N
110058106,VIC,B,F,30,N
110058108,SUS,W,M,,N
110058108,VIC,B,M,40,N
110058108,VIC,W,F,28,N
110058108,VIC,W,M,0,N
110058109,SUS,U,U,,N
110058109,VIC,W,M,55,N
110058117,ARR,B,M,47,N
110058117,ARR,B,M,23,N
110058117,VIC,,,,N
110058121,SUS,U,U,,N
110058121,VIC,W,M,35,N
110058122,SUS,W,M,21,N
110058122,VIC,W,F,21,N
110058124,ARR,W,M,35,N
110058125,ARR,B,M,22,N
110058125,VIC,W,M,48,N
110058126,SUS,W,M,41,N
110058126,VIC,W,F,20,N
110058126,VIC,W,F,43,N
110058128,VIC,,,,Y
110058128,VIC,,,,Y
110058128,VIC,,,,N
110058128,VIC,,,,N
110058128,VIC,,,,N
110058128,VIC,,,,N
110058129,SUS,W,M,33,N
110058129,VIC,W,M,51,N
110058131,SUS,W,M,41,N
110058131,VIC,W,M,28,N
110058131,VIC,W,M,22,N
110058133,ARR,W,M,41,N
110058134,SUS,B,M,,N
110058134,VIC,,,,N
110058135,ARR,B,M,32,N
110058135,VIC,B,F,51,N
110058136,VIC,,,,Y
110058137,ARR,W,M,40,N
110058137,VIC,W,F,24,N
110058139,ARR,B,M,19,N
110058139,VIC,B,F,23,N
110058140,ARR,W,M,27,N
110058140,VIC,,,,N
110058141,VIC,B,F,27,Y
110058142,ARR,B,F,47,N
110058143,ARR,B,M,17,N
110058143,VIC,,,,N
110058147,ARR,W,M,29,N
110058147,VIC,,,,N
110058148,ARR,W,M,24,N
110058148,VIC,,,,N
110058150,SUS,U,U,,N
110058150,VIC,,,,N
110058151,VIC,B,M,25,N
110058151,VIC,W,F,20,N
110058152,SUS,W,M,21,N
110058152,VIC,W,M,17,N
110058153,ARR,B,M,16,Y
110058153,VIC,,,,Y
110058154,SUS,B,M,,Y
110058154,VIC,,,,Y
110058154,VIC,B,M,38,Y
110058155,ARR,B,M,30,N
110058155,VIC,B,F,30,N
110058155,VIC,,,,N
110058155,ARR,B,M,30,N
110058155,VIC,B,F,30,N
110058155,VIC,,,,N
110058156,SUS,U,U,,N
110058156,SUS,U,U,,N
110058156,VIC,U,U,,N
110058157,SUS,U,U,,N
110058157,VIC,,,,N
110058158,ARR,W,F,30,N
110058158,ARR,W,M,31,N
110058158,VIC,,,,N
110058158,ARR,W,F,30,N
110058158,ARR,W,M,31,N
110058158,VIC,,,,N
110058160,SUS,U,U,,N
110058160,VIC,,,,N
110058161,SUS,U,U,,N
110058161,VIC,B,M,66,N
110058162,SUS,U,U,,N
110058162,VIC,,,,N
110058167,SUS,U,U,,N
110058167,VIC,W,F,32,N
110058168,ARR,B,M,24,N
110058168,VIC,,,,N
110058169,SUS,U,U,,N
110058169,VIC,W,F,55,N
110058170,SUS,U,U,,N
110058170,VIC,B,F,20,N
110058171,SUS,U,U,,N
110058171,VIC,W,F,60,N
110058173,SUS,U,U,,N
110058173,VIC,,,,N
110058174,SUS,U,U,,N
110058174,VIC,W,F,62,N
110058177,SUS,U,U,,N
110058177,VIC,W,M,33,N
110058178,SUS,U,U,,N
110058178,VIC,B,F,36,N
110058182,ARR,B,F,27,N
110058182,VIC,,,,N
110058182,ARR,B,F,27,N
110058182,VIC,,,,N
110058183,SUS,B,M,15,N
110058183,SUS,B,M,15,N
110058183,VIC,W,F,47,N
110058183,VIC,W,F,21,N
110058183,VIC,W,F,16,N
110058183,VIC,W,M,19,N
110058184,SUS,U,U,,N
110058184,VIC,B,F,43,N
110058185,SUS,B,M,,N
110058185,SUS,B,F,,N
110058185,VIC,W,M,60,N
110058186,SUS,U,U,,N
110058186,VIC,B,F,50,N
110058187,VIC,U,M,,N
110058191,SUS,U,U,,N
110058191,VIC,W,M,39,N
110058192,SUS,U,U,,N
110058192,VIC,W,F,68,N
110058195,SUS,W,F,30,N
110058195,VIC,,,,N
110058196,SUS,W,M,35,N
110058196,VIC,,,,N
110058197,ARR,B,M,22,N
110058197,VIC,B,F,21,N
110058198,SUS,U,U,,N
110058198,VIC,W,M,64,N
110058200,SUS,U,U,,N
110058200,VIC,,,,N
110058202,SUS,U,U,,N
110058202,VIC,B,F,38,N
110058207,SUS,B,F,27,N
110058207,VIC,B,F,9,N
110058207,VIC,B,M,8,N
110058207,VIC,B,M,6,N
110058207,VIC,B,M,4,N
110058208,SUS,B,M,20,N
110058208,VIC,,,,N
110058209,SUS,U,U,,N
110058209,VIC,W,F,46,N
110058212,SUS,U,U,,N
110058212,VIC,W,M,23,N
110058212,SUS,U,U,,N
110058212,VIC,W,M,23,N
110058213,SUS,W,M,45,N
110058213,VIC,W,F,25,N
110058216,SUS,B,M,,N
110058216,SUS,U,U,,N
110058216,VIC,B,F,57,N
110058217,SUS,W,F,25,N
110058217,VIC,W,M,15,N
110058219,ARR,W,F,26,N
110058219,VIC,,,,N
110058222,SUS,W,F,21,N
110058222,VIC,W,F,26,N
110058223,ARR,W,F,21,N
110058223,VIC,,,,N
110058224,SUS,B,M,,N
110058224,SUS,B,M,,N
110058224,SUS,B,M,,N
110058224,VIC,W,M,33,N
110058226,SUS,U,U,,N
110058226,VIC,B,F,52,N
110058228,SUS,U,U,,N
110058228,VIC,,,,N
110058230,SUS,U,U,,N
110058230,VIC,U,U,,N
110058231,SUS,U,U,,N
110058231,VIC,U,U,,N
110058232,SUS,U,U,,N
110058232,VIC,B,F,63,N
110058233,SUS,U,U,,N
110058233,VIC,,,,N
110058234,SUS,U,U,,N
110058234,VIC,,,,N
110058235,SUS,U,U,,N
110058235,VIC,W,M,57,N
110058238,SUS,B,M,50,N
110058238,SUS,B,M,50,N
110058238,VIC,W,M,69,N
110058239,SUS,U,U,,N
110058239,VIC,W,M,51,N
110058241,SUS,U,U,,N
110058241,VIC,W,F,55,N
110058243,SUS,U,U,,N
110058243,VIC,B,M,23,N
110058244,SUS,U,U,,N
110058244,VIC,W,M,58,N
110058247,SUS,U,U,,N
110058247,VIC,W,F,96,N
110058250,ARR,B,M,29,N
110058250,VIC,B,F,18,N
110058251,SUS,B,M,,N
110058251,VIC,,,,N
110058252,SUS,U,U,,N
110058252,VIC,W,F,53,N
110058252,VIC,W,F,28,N
110058254,SUS,B,F,15,N
110058254,VIC,W,F,44,N
110058255,SUS,B,M,,N
110058255,VIC,W,F,58,N
110058256,SUS,U,U,,N
110058256,VIC,W,F,28,N
110058259,SUS,U,U,,N
110058259,VIC,W,F,45,N
110058265,SUS,W,F,,N
110058265,VIC,,,,N
110058267,SUS,W,M,17,N
110058267,VIC,W,F,17,N
110058268,SUS,W,M,,N
110058268,SUS,W,M,,N
110058268,VIC,W,F,50,N
110058268,VIC,B,M,19,N
110058270,SUS,U,U,,N
110058270,VIC,W,M,52,N
110058274,SUS,B,M,,Y
110058274,SUS,B,M,,Y
110058274,VIC,B,M,34,Y
110058275,SUS,U,U,,N
110058275,VIC,B,F,42,N
110058278,SUS,U,U,,N
110058278,VIC,W,F,51,N
110058279,SUS,U,U,,N
110058279,VIC,W,M,41,N
110058281,SUS,U,U,,N
110058281,VIC,,,,N
110058290,SUS,U,U,,N
110058290,VIC,B,F,0,N
110058291,SUS,U,U,,N
110058291,VIC,,,,N
110058294,SUS,B,F,37,N
110058294,VIC,B,F,48,N
110058295,SUS,B,M,26,N
110058295,VIC,B,F,25,N
110058296,SUS,U,U,,N
110058296,VIC,B,M,44,N
110058297,SUS,U,U,,N
110058297,VIC,W,M,56,N
110058300,ARR,W,F,51,N
110058300,VIC,,,,N
110058301,ARR,B,M,41,N
110058301,VIC,W,F,54,N
110058301,VIC,,,,N
110058302,SUS,U,U,,N
110058302,VIC,,,,N
110058304,SUS,U,U,,N
110058304,VIC,B,F,57,N
110058306,SUS,U,U,,N
110058306,VIC,,,,N
110058307,SUS,U,U,,N
110058307,VIC,W,F,31,N
110058308,SUS,B,F,,N
110058308,VIC,,,,N
110058309,VIC,,,,N
110058311,ARR,B,M,39,N
110058311,VIC,B,F,40,N
110058312,VIC,,,,N
110058314,SUS,W,M,,N
110058314,VIC,B,M,39,N
110058315,SUS,U,U,,N
110058315,VIC,,,,N
110058316,SUS,B,M,41,N
110058316,VIC,B,F,15,N
110058317,SUS,B,M,,N
110058317,VIC,B,F,26,N
110058318,ARR,W,F,40,N
110058318,ARR,W,M,56,N
110058318,VIC,,,,N
110058319,ARR,B,F,36,N
110058319,VIC,B,M,38,N
110058321,SUS,B,F,36,N
110058321,SUS,B,M,,N
110058321,VIC,B,M,31,N
110058322,SUS,U,U,,N
110058322,VIC,W,M,36,N
110058323,SUS,U,U,,N
110058323,VIC,B,F,30,N
110058324,SUS,U,U,,N
110058324,VIC,W,F,34,N
110058325,SUS,U,U,,N
110058325,VIC,,,,N
110058326,SUS,B,M,24,N
110058326,VIC,B,F,20,N
110058327,SUS,B,F,,N
110058327,SUS,B,M,,N
110058327,VIC,,,,N
110058330,SUS,B,M,31,N
110058330,VIC,B,M,5,N
110058331,SUS,B,M,31,N
110058331,VIC,B,F,3,N
110058332,SUS,U,U,,N
110058332,VIC,W,F,37,N
110058333,SUS,U,U,,N
110058333,VIC,B,F,36,N
110058337,SUS,B,M,24,N
110058337,VIC,W,F,28,N
110058340,SUS,U,U,,N
110058340,VIC,W,M,69,N
110058341,SUS,B,M,36,N
110058341,VIC,B,M,63,N
110058342,SUS,U,U,,N
110058342,VIC,W,F,44,N
110058344,SUS,U,U,,N
110058344,VIC,,,,N
110058345,SUS,U,U,,N
110058345,VIC,W,M,76,N
110058346,SUS,B,M,30,N
110058346,VIC,,,,N
110058349,SUS,B,F,26,N
110058349,VIC,,,,N
110058350,ARR,W,F,30,N
110058350,VIC,W,F,14,N
110058351,ARR,W,M,19,N
110058351,VIC,,,,N
110058353,SUS,B,M,,Y
110058353,VIC,W,M,31,Y
110058353,VIC,W,M,62,Y
110058353,VIC,W,F,61,Y
110058354,ARR,B,M,32,N
110058354,VIC,B,F,28,N
110058357,SUS,U,U,,N
110058357,VIC,W,M,26,N
110058357,VIC,W,F,26,N
110058359,ARR,B,M,47,N
110058359,VIC,,,,N
110058361,ARR,W,M,57,N
110058364,ARR,W,F,23,N
110058364,VIC,,,,N
110058365,SUS,B,M,30,N
110058365,VIC,B,F,36,N
110058367,SUS,B,M,30,N
110058367,VIC,B,F,30,N
110058367,SUS,B,M,30,N
110058367,VIC,B,F,30,N
110058369,SUS,W,M,36,N
110058369,VIC,W,M,39,N
110058372,ARR,W,M,47,N
110058373,SUS,B,M,,Y
110058373,VIC,B,M,21,Y
110058373,VIC,B,M,21,Y
110058376,ARR,W,M,42,N
110058376,VIC,,,,N
110058377,SUS,B,M,30,N
110058377,VIC,,,,N
110058379,SUS,U,U,,N
110058379,VIC,W,F,30,N
110058380,SUS,B,F,50,N
110058380,VIC,B,F,44,N
110058380,SUS,B,F,50,N
110058380,VIC,B,F,44,N
110058381,SUS,B,M,23,N
110058381,VIC,B,F,23,N
110058386,ARR,B,F,42,N
110058386,VIC,,,,N
110058386,ARR,B,F,42,N
110058386,VIC,,,,N
110058390,SUS,B,M,,N
110058390,VIC,B,M,37,N
110058392,VIC,,,,Y
110058393,SUS,U,U,,N
110058393,VIC,W,F,34,N
110058394,SUS,U,U,,N
110058394,VIC,W,F,47,N
110058396,SUS,U,U,,N
110058396,VIC,,,,N
110058399,SUS,B,F,,Y
110058399,SUS,B,M,,Y
110058399,SUS,B,M,,Y
110058399,SUS,B,M,,Y
110058399,SUS,B,F,,Y
110058399,VIC,B,M,34,Y
110058400,SUS,B,M,,N
110058400,SUS,B,M,,N
110058400,SUS,B,M,,N
110058400,SUS,B,M,,N
110058400,VIC,B,M,47,N
110058401,SUS,B,F,39,N
110058401,VIC,,,,N
110058403,SUS,W,M,,N
110058403,VIC,W,M,17,N
110058406,SUS,U,U,,N
110058406,VIC,B,M,42,N
110058406,SUS,U,U,,N
110058406,VIC,B,M,42,N
110058407,SUS,W,M,20,N
110058407,SUS,W,M,20,N
110058407,SUS,W,M,20,N
110058407,VIC,W,F,24,N
110058407,VIC,W,F,23,N
110058408,SUS,U,U,,Y
110058408,VIC,W,M,27,Y
110058408,SUS,B,M,33,Y
110058410,ARR,B,M,25,N
110058410,VIC,,,,N
110058411,ARR,B,M,53,N
110058411,VIC,,,,N
110058412,ARR,W,M,23,N
110058412,VIC,,,,N
110058413,VIC,B,F,32,N
110058413,SUS,U,U,,N
110058413,VIC,U,F,,N
110058414,SUS,B,M,20,Y
110058414,SUS,B,M,22,Y
110058414,VIC,,,,Y
110058414,SUS,B,M,20,N
110058414,SUS,B,M,22,N
110058414,VIC,,,,N
110058419,SUS,W,M,26,N
110058419,VIC,W,M,36,N
110058420,VIC,B,F,44,N
110058421,ARR,B,M,26,N
110058422,ARR,B,M,51,N
110058423,ARR,W,M,21,N
110058423,VIC,U,U,,N
110058427,SUS,U,U,,Y
110058427,VIC,B,M,28,Y
110058430,ARR,W,M,23,N
110058431,SUS,B,M,18,N
110058431,SUS,B,M,18,N
110058431,VIC,B,F,31,N
110058432,SUS,B,M,,N
110058432,VIC,,,,N
110058433,ARR,W,M,33,N
110058433,VIC,,,,N
110058434,SUS,B,M,,Y
110058434,SUS,B,M,,Y
110058434,VIC,B,M,34,Y
110058436,SUS,B,F,,N
110058436,VIC,B,F,10,N
110058437,SUS,B,M,22,N
110058437,VIC,B,F,22,N
110058440,SUS,B,M,15,N
110058440,SUS,W,M,15,N
110058440,VIC,B,F,21,N
110058442,SUS,U,U,,N
110058442,VIC,B,F,33,N
110058443,SUS,U,U,,N
110058443,VIC,W,M,17,N
110058446,SUS,U,U,,N
110058446,VIC,B,F,56,N
110058447,SUS,U,U,,N
110058447,VIC,,,,N
110058448,ARR,B,M,33,N
110058448,VIC,,,,N
110058449,ARR,W,M,54,N
110058449,VIC,,,,N
110058453,SUS,U,U,,N
110058453,VIC,,,,N
110058455,SUS,W,F,,N
110058455,VIC,B,M,45,N
110058456,SUS,U,U,,N
110058456,VIC,W,M,45,N
110058458,SUS,U,U,,N
110058458,VIC,U,U,,N
110058460,SUS,U,U,,N
110058460,VIC,W,M,31,N
110058461,SUS,U,U,,N
110058461,VIC,B,M,20,N
110058463,SUS,U,U,,N
110058463,VIC,U,U,,N
110058465,SUS,B,M,25,N
110058465,VIC,W,F,24,N
110058467,SUS,U,M,20,N
110058467,VIC,U,U,18,N
110058468,SUS,U,U,,N
110058468,VIC,B,F,58,N
110058470,SUS,U,U,,N
110058470,VIC,W,F,23,N
110058471,SUS,U,U,,N
110058471,VIC,W,F,29,N
110058473,SUS,U,U,,N
110058473,VIC,W,M,45,N
110058475,SUS,U,U,,N
110058475,VIC,W,F,56,N
110058478,SUS,U,U,,N
110058478,VIC,B,F,32,N
110058479,SUS,U,U,,N
110058479,VIC,B,M,45,N
110058479,SUS,U,U,,N
110058479,VIC,B,M,45,N
110058480,SUS,U,U,,N
110058480,VIC,W,M,64,N
110058481,ARR,B,M,52,N
110058481,VIC,W,M,72,N
110058483,ARR,B,F,55,N
110058483,VIC,,,,N
110058483,ARR,B,F,55,N
110058483,VIC,,,,N
110058484,ARR,W,M,72,N
110058484,VIC,,,,N
110058485,SUS,U,U,,N
110058485,VIC,W,M,40,N
110058486,ARR,B,M,25,N
110058486,ARR,B,M,20,N
110058487,SUS,U,U,,N
110058487,VIC,W,M,26,N
110058488,SUS,U,U,,N
110058488,VIC,W,F,25,N
110058489,SUS,U,U,,N
110058489,VIC,,,,N
110058490,SUS,U,U,,N
110058490,VIC,W,F,75,N
110058492,SUS,U,U,,N
110058492,VIC,W,M,31,N
110058493,SUS,U,U,,N
110058493,VIC,W,F,28,N
110058493,SUS,U,U,,N
110058493,VIC,W,F,28,N
110058495,SUS,W,M,36,N
110058495,SUS,W,F,54,N
110058495,VIC,,,,N
110058496,SUS,B,M,44,Y
110058496,SUS,B,M,40,Y
110058496,VIC,B,M,46,Y
110058496,VIC,B,F,38,Y
110058496,VIC,B,F,19,Y
110058496,VIC,B,F,25,Y
110058496,VIC,B,M,20,Y
110058496,VIC,B,M,12,Y
110058497,SUS,U,U,,N
110058497,VIC,W,M,26,N
110058499,SUS,U,U,,N
110058499,VIC,W,M,45,N
110058501,SUS,U,U,,N
110058501,VIC,B,F,33,N
110058501,VIC,B,F,34,N
110058503,SUS,U,U,,N
110058503,VIC,W,F,27,N
110058504,SUS,U,U,,N
110058504,VIC,B,M,34,N
110058505,SUS,U,U,,N
110058505,VIC,W,F,26,N
110058506,ARR,B,M,23,N
110058506,ARR,B,M,22,N
110058506,ARR,B,M,24,N
110058506,VIC,,,,N
110058508,ARR,W,M,18,N
110058508,VIC,,,,N
110058510,SUS,U,U,,N
110058510,VIC,B,F,73,N
110058511,SUS,W,F,27,N
110058511,VIC,B,M,29,N
110058515,SUS,U,U,,N
110058515,VIC,W,M,25,N
110058516,SUS,U,U,,N
110058516,VIC,,,,N
110058518,SUS,B,M,,N
110058518,VIC,W,M,60,N
110058519,SUS,U,U,,N
110058519,VIC,W,M,45,N
110058521,ARR,W,F,42,N
110058521,ARR,B,F,51,N
110058521,VIC,,,,N
110058525,SUS,U,U,,N
110058525,VIC,W,F,20,N
110058526,ARR,B,M,52,N
110058526,VIC,,,,N
110058527,ARR,W,M,34,N
110058527,VIC,,,,N
110058529,SUS,U,U,,N
110058529,VIC,U,F,22,N
110058529,VIC,U,M,2,N
110058530,SUS,U,U,,N
